time ch1 ch2 ch3 ch4 ch5 ch6 ch7 ch8 label
0 7.019700181577642e-06 -3.58560760302453e-05 1.8761279895161432e-05 2.3514117909780347e-05 -4.877587971634591e-05 -3.2554487671557955e-05 3.1960100791821343e-06 -7.906064808589556e-06 1
1 -4.107588723647272e-06 2.9097808601588806e-06 2.1984949371570715e-05 1.944479838572371e-05 1.6507674390304012e-06 2.8181030174200822e-05 1.168773355630114e-05 -2.1482311572080956e-05 1
2 2.8520183213048382e-05 -5.56321739689078e-06 2.1961257532681814e-05 -1.2481477746563225e-06 -4.6215590886315145e-06 -1.7023238610098534e-05 3.056353346685076e-05 -3.863237051720054e-06 1
3 7.006996239705379e-06 2.6718200267762708e-05 1.3307729638833718e-05 9.136101609101958e-06 1.031831528989971e-05 1.0770525075197069e-05 5.354119002176153e-05 -1.0160375409615389e-05 1
4 5.688568384318749e-06 -6.958358377820826e-06 1.5399485564387393e-05 2.822430731802229e-05 -2.848686441371877e-06 -2.10039119240632e-05 -2.061203039228099e-05 1.6264819695617526e-05 1
5 4.0109321654499244e-05 -4.60013694162524e-06 -1.6637742682217358e-05 5.804033076667995e-06 2.9171452285182056e-06 5.4672149182253235e-06 2.1785719448704746e-05 5.589888719367057e-06 1
6 3.428576300549311e-05 5.248662371836201e-07 7.227984967249604e-06 1.578220564596351e-05 -3.6428895496391664e-05 -7.991780408932534e-06 -1.1759316357319888e-05 -1.5971946206083548e-05 1
7 -4.476955717151134e-06 1.469434993977226e-05 -2.1645777892331083e-05 2.420695886478702e-05 -4.207174429039512e-05 -8.372125749644371e-06 4.06882662762514e-06 1.4655558283981954e-05 1
8 1.0425692882260003e-05 -4.30446505469078e-06 -8.71812680621094e-06 -1.155879481661418e-05 2.1449397031428846e-05 -4.782608122040372e-06 -3.189215808344805e-05 -2.8332180350087016e-05 1
9 -1.66951737384326e-05 -1.7349319977704875e-05 3.5606434017641313e-06 1.7262133851694206e-05 -1.0681316158413356e-05 3.963492276917856e-06 1.563975984918342e-05 -7.733663493005961e-06 1
10 4.108121104671959e-06 -4.966550412735771e-06 -9.076346164126795e-06 -9.543447349958228e-06 -2.9895991139725994e-05 1.2174312019639546e-05 -1.1735058505068097e-05 3.123529681921858e-07 1
11 -3.663742752049866e-07 1.3647282882542782e-05 1.6634627724319658e-05 -2.4621371127355906e-06 -1.0582457801103844e-05 -1.9929552726599765e-06 -4.218336084895075e-05 -3.6177811810577186e-05 1
12 -5.002492502286556e-05 8.185468567605659e-06 9.994355668085915e-06 -2.263697638400152e-05 -9.454063850984742e-06 3.2480707444651634e-05 -8.906599276535648e-06 1.8437889211677164e-05 1
